zip_code,state_code,state_name,city,time_zone
B3A,NS,Nova Scotia,Dartmouth,
B3B,NS,Nova Scotia,Dartmouth,
B3E,NS,Nova Scotia,Porters Lake,
B3G,NS,Nova Scotia,Eastern Passage,
B3H,NS,Nova Scotia,Halifax,
B3J,NS,Nova Scotia,Halifax,
B3K,NS,Nova Scotia,Halifax,
B3L,NS,Nova Scotia,Halifax,
B3M,NS,Nova Scotia,Halifax,
B3N,NS,Nova Scotia,Halifax,
B3P,NS,Nova Scotia,Halifax,
B3R,NS,Nova Scotia,Halifax,
B3S,NS,Nova Scotia,Halifax,
B3T,NS,Nova Scotia,Lakeside,
B3V,NS,Nova Scotia,Harrietsfield,
B3Z,NS,Nova Scotia,Tantallon,
B4A,NS,Nova Scotia,Bedford,
B4B,NS,Nova Scotia,Bedford,
B4C,NS,Nova Scotia,Lower Sackville,
B4E,NS,Nova Scotia,Lower Sackville,
B4G,NS,Nova Scotia,Lower Sackville,
B4H,NS,Nova Scotia,Amherst,
B4N,NS,Nova Scotia,Kentville,
B4P,NS,Nova Scotia,Wolfville,
B4R,NS,Nova Scotia,Coldbrook,
B4V,NS,Nova Scotia,Bridgewater,
B5A,NS,Nova Scotia,Yarmouth,
B6L,NS,Nova Scotia,Truro,
B9A,NS,Nova Scotia,Port Hawkesbury,
X0E,NT,Northwest Territory,Central Northwest Territories,
X0G,NT,Northwest Territory,Southwestern Northwest Territories,
X1A,NT,Northwest Territory,Yellowknife,
X0A,NU,Nunavut Territory,Outer Nunavut,
X0B,NU,Nunavut Territory,Central Nunavut,
X0C,NU,Nunavut Territory,Inner Nunavut,
P0R,ON,Ontario,Algoma,
N3P,ON,Ontario,Brant,
N3R,ON,Ontario,Brant,
N3S,ON,Ontario,Brant,
N3T,ON,Ontario,Brant,
N3V,ON,Ontario,Brant,
L0N,ON,Ontario,Dufferin County,
K0H,ON,Ontario,Frontenac County,
L0P,ON,Ontario,Halton,
L9E,ON,Ontario,Halton,
L8E,ON,Ontario,Hamilton,
L8G,ON,Ontario,Hamilton,
L8H,ON,Ontario,Hamilton,
L8J,ON,Ontario,Hamilton,
L8K,ON,Ontario,Hamilton,
